unit,group,model,how,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
Ligue 1 2015/2016,men_club,GLM_GEO,recal,8043,811,0.26533161700506397,0.07570416640994414,0.003750220894368911,0.01871177856116514,0.09066572407674037,0.03180393959283873,0.8151258484008598,0.48068501835294375,1.1247194421999125,1.4594586102911782
Ligue 1 2015/2016,men_club,GBM_LOC,none,8043,811,0.27412778161835794,0.07807654905228853,0.0010917537641841335,0.013680928788635971,0.09066572407674037,0.014566176397226058,0.7814480340833452,0.13749187859548873,1.019970506840252,1.114658811652471
Ligue 1 2015/2016,men_club,GBM_LOC,recal,8043,811,0.28315754987154723,0.08060128262120485,0.0036164873331004516,0.013680928788635971,0.09066572407674037,0.036022342750177905,0.7814480340833452,0.504939333437557,1.1245738351758678,1.5194710329097756
Ligue 1 2015/2016,men_club,GBM_GEO,none,8043,811,0.25507939068630314,0.07246405522414501,0.0008183091260175329,0.019019977978612893,0.09066572407674037,0.010807853389912424,0.8172170133016161,-0.015387839900859433,1.0382007793772117,0.9887409364852342
Ligue 1 2015/2016,men_club,GBM_GEO,recal,8043,811,0.26216009280041663,0.07454755098690857,0.002901804888781098,0.019019977978612893,0.09066572407674037,0.029637624729671744,0.8172170133016161,0.4497498832107047,1.0687631676730243,1.4122343666828334
NWSL 2023,women_club,GLM_LOC,none,3173,272,0.2563111412346593,0.07149063017805517,0.0020308272927753585,0.008915004883030847,0.07837480776831066,0.021066314650913236,0.7679166159742077,-0.24799970249689096,0.965465074527337,0.8197621670558407
NWSL 2023,women_club,GLM_LOC,recal,3173,272,0.2541028318817821,0.07082834230593663,0.0013685394206568169,0.008915004883030847,0.07837480776831066,0.013581235649951194,0.7679166159742077,0.027531641648265392,1.051544976081443,1.0231540203031175
NWSL 2023,women_club,GLM_GEO,none,3173,272,0.24181546100306364,0.06751275585241684,0.0012386202831727866,0.012100672199066603,0.07837480776831066,0.013889454247125453,0.7969728998114239,-0.15647264814482342,0.9925608835591562,0.8858088324756765
NWSL 2023,women_club,GLM_GEO,recal,3173,272,0.24141267737056982,0.06741367859018133,0.0011395430209372726,0.012100672199066603,0.07837480776831066,0.012908052685500264,0.7969728998114239,0.06692080106527064,1.0903272951187695,1.0555601589565997
NWSL 2023,women_club,GBM_LOC,none,3173,272,0.25665891515262973,0.07201948625919027,0.002052705737154159,0.008408027246274541,0.07837480776831066,0.020778373336176784,0.7692941835472554,-0.2623550562012739,0.9502561622967969,0.8109573492837145
