group,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp,design,split
women_club,GLM_LOC,27452,2964,0.2950869715225665,0.08470335059858328,0.0008523401201945141,0.012461684543639426,0.09631269502202819,0.01459865366191179,0.7688187962618832,-0.10792741975606503,0.8668538616236738,0.9221691369091634,cross,men_club
women_club,GLM_GEO,27452,2964,0.2795664058652023,0.08028916634579948,0.00044849653686118707,0.016472025213089894,0.09631269502202819,0.009757581906104429,0.7993431385710525,0.07139116002788205,0.891971723827991,1.0529096747136713,cross,men_club
women_club,GBM_LOC,27452,2964,0.2920688446239405,0.08411913117544985,0.0005794750774198026,0.012773038923998142,0.09631269502202819,0.011835442108097324,0.771329755112091,-0.0857903412986276,0.9454111636546347,0.9364450276641492,cross,men_club
women_club,GBM_GEO,27452,2964,0.2777903659675556,0.0798736000726938,0.00039865349435122543,0.016837748443685616,0.09631269502202819,0.009086376999660778,0.7990897990301565,0.08996429765863499,0.9440683382864663,1.0678573264455344,cross,men_club
women_club,statsbomb_xg,27452,2964,0.2772989087102261,0.07929934956897264,0.0005215986209810841,0.017534944074036635,0.09631269502202819,0.01056065857871658,0.7992496104291463,0.06916696512837392,1.0065634601181446,1.0526622882361156,cross,men_club
women_intl,GLM_LOC,4521,428,0.26759974473300396,0.07616903541223881,0.002112260009639183,0.011650265215585584,0.08570704061818521,0.020513972992575354,0.7800501654294658,-0.234325896029823,0.9322111060289175,0.8357661191449604,cross,men_club
women_intl,GLM_GEO,4521,428,0.2451269233448001,0.06960100165380861,0.0010840987031930371,0.017190137667569633,0.08570704061818521,0.009939720000106463,0.8191236005854536,0.00833012951460991,0.9954249707843125,1.0061340099379812,cross,men_club
women_intl,GBM_LOC,4521,428,0.26675825014937266,0.07588171842190665,0.001721623793707272,0.011546945989985832,0.08570704061818521,0.020266224746923984,0.780930971729714,-0.22341250172568441,0.9824910546700271,0.8407462748206016,cross,men_club
women_intl,GBM_GEO,4521,428,0.24425313287971062,0.06925385909055963,0.0010268864889074608,0.01748006801653304,0.08570704061818521,0.011782265648885274,0.8217026562332315,0.0014868990480501657,1.0428627697167534,1.0011028786885598,cross,men_club
women_intl,statsbomb_xg,4521,428,0.24740215968352428,0.06974169211202616,0.0012804166977277293,0.01724576520388678,0.08570704061818521,0.013998935967145692,0.8158281405910707,0.0037806771191498056,1.1205091690574545,1.0028931349940269,cross,men_club
men_club,GLM_LOC,38613,3751,0.26787301979298894,0.07603051436016095,0.0005790118593324151,0.012255096894076,0.08770659939490454,0.012626650943674085,0.7861826179532475,0.16001185583467337,1.0378038712475084,1.136082756256929,cross,men_intl
men_club,GLM_GEO,38613,3751,0.2535191198033979,0.07208810800223302,0.0002960796649609798,0.0159145710576325,0.08770659939490454,0.006258594972663421,0.8139124959942221,0.0596706196480441,0.971202687410098,1.045241740267469,cross,men_intl
men_club,GBM_LOC,38613,3751,0.2716290072708297,0.07732477087736613,0.0015339214792478434,0.011915749996786254,0.08770659939490454,0.023154824044716762,0.7870963627759043,0.11078446045364924,1.3551083086703366,1.0979610159296795,cross,men_intl
men_club,GBM_GEO,38613,3751,0.254381424744885,0.07244532130925384,0.0007638415728725978,0.016025119658523296,0.08770659939490454,0.012434862850934928,0.815596796240334,0.04197613355598956,1.1687994751274218,1.0334875995244979,cross,men_intl
men_club,statsbomb_xg,38613,3751,0.2497462775367109,0.07095541337230339,0.0003896808561875964,0.01714086687878874,0.08770659939490454,0.00965863647156017,0.8200682177866371,0.043972078463209024,1.0454523716534745,1.0330678040902734,cross,men_intl
women_club,GLM_LOC,27452,2964,0.2979588518377489,0.0846624517665853,0.0005602249035105561,0.01221046815895345,0.09631269502202819,0.010312017774528642,0.7651574419551002,0.07024411967256622,0.8997313025345849,1.0557384056835348,cross,men_intl
women_club,GLM_GEO,27452,2964,0.28474354428351895,0.08114374550713363,0.0004892184718663234,0.015658167986760882,0.09631269502202819,0.012266170048157391,0.7927398051363174,0.11761855379015047,0.8678660102820711,1.0896051093245949,cross,men_intl
women_club,GBM_LOC,27452,2964,0.2966202313800795,0.08552268321502451,0.0010266889441015864,0.01181670075110526,0.09631269502202819,0.016018461013602703,0.7628935401337888,0.08176352697028848,1.2235236009882993,1.0699443155056108,cross,men_intl
women_club,GBM_GEO,27452,2964,0.2824194358274985,0.08146612804000258,0.0009327647369497677,0.015779331718975373,0.09631269502202819,0.015031701646317022,0.7938420622224398,0.14273688432374596,1.0915941455530422,1.117790545037774,cross,men_intl
