design,split,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
loco_sub,Indian Super league 2021/2022,GBM_GEO,2881,298,0.2784664691083781,0.07891950603208901,0.0018978080442497436,0.015715539277799312,0.09273723726563858,0.02150840551134409,0.7831367719238074,0.14863652867486105,0.8444649061706956,1.1136606225114358
loco_sub,Indian Super league 2021/2022,statsbomb_xg,2881,298,0.2800079696169221,0.07895013668562821,0.0013258345267801175,0.015112935106790487,0.09273723726563858,0.01692806394196531,0.7749339382176179,0.149987919308919,0.8586186140542569,1.1160957343499618
loco_sub,La Liga 2015/2016,GLM_LOC,8661,916,0.2755946183181181,0.08010330710838633,0.0010550114264481492,0.015527677436079718,0.0945759731180179,0.015965581231221868,0.8039097628840695,0.09743247743658762,1.118269143129581,1.0789390665375225
loco_sub,La Liga 2015/2016,GLM_GEO,8661,916,0.2571165495171303,0.07451605764333542,0.0008136239172787801,0.02087353939196125,0.0945759731180179,0.011043533274976735,0.8334062544929677,0.003568951874147457,1.0700774825499926,1.0025785687805346
loco_sub,La Liga 2015/2016,GBM_LOC,8661,916,0.2737697334555554,0.07977162926777795,0.0012613268901033176,0.016065670740343263,0.0945759731180179,0.015662329947955834,0.8085644069564532,0.10357558875961914,1.1134252428133196,1.0838290158200063
loco_sub,La Liga 2015/2016,GBM_GEO,8661,916,0.2549611099682861,0.07384808746319,0.0008534236488742242,0.021581309303702126,0.0945759731180179,0.010240151204198307,0.8371311537800131,-0.0036119822181078093,1.0792882529016683,0.9974110025381336
loco_sub,La Liga 2015/2016,statsbomb_xg,8661,916,0.25557615598011846,0.07405770149198457,0.0010641742546582261,0.021582445880691553,0.0945759731180179,0.015057419666887237,0.8380136783556654,0.04419868475650379,1.1038146702038913,1.0324162972431281
loco_sub,Liga F 2023/2024,GLM_LOC,5938,686,0.2994638305663931,0.08693132804393365,0.0013516658697825257,0.016600937376998345,0.10218059955114947,0.014564246928134844,0.7883631447356442,0.15855100765278826,0.9988285324408056,1.128889494766517
loco_sub,Liga F 2023/2024,GLM_GEO,5938,686,0.2802635144199762,0.0822411385763333,0.00145749536306497,0.021396956337881134,0.10218059955114947,0.017891441938509587,0.8260856894166653,0.19577094274143167,1.0246169861312597,1.1524808832098392
loco_sub,Liga F 2023/2024,GBM_LOC,5938,686,0.2940922687458733,0.08623883671877322,0.001474824732858454,0.017416587565234704,0.10218059955114947,0.016850804665093647,0.7970767487715356,0.13690320830685565,1.1287943043545867,1.1123445795726024
loco_sub,Liga F 2023/2024,GBM_GEO,5938,686,0.27572743845057235,0.08113026936597703,0.0015076632468274814,0.02255799343199992,0.10218059955114947,0.018927068755307325,0.8316198854691479,0.16439759954195118,1.0905941305807798,1.1269010240484687
loco_sub,Liga F 2023/2024,statsbomb_xg,5938,686,0.2813817722274768,0.08206326782581523,0.0014720180611418332,0.021589349786476073,0.10218059955114947,0.01797861105584369,0.8197760009237075,0.17182812767809477,1.032087737809196,1.1321801444050748
loco_sub,Ligue 1 2015/2016,GLM_LOC,8260,825,0.27261870317764025,0.07764954953887618,0.0008933824885098002,0.0131469659925664,0.08990313304293278,0.012393341794484189,0.7823575635303948,0.13565854750220796,1.0455708550235456,1.1138490635243388
loco_sub,Ligue 1 2015/2016,GLM_GEO,8260,825,0.2554831711277827,0.07246408539087898,0.0010989649526512713,0.01853801260470507,0.08990313304293278,0.013351932711705696,0.8146426198773207,-0.03845725716168598,1.058110415474554,0.9716747270374977
